,Ref ID,Gender,Age_Group,City,Smart_Phone,Tablet,Commuting_Mode,Commuting_Time,No_of_Books_read_in_a_year,Start_Time_Slots,Event_Duration_Minutes_2_Weeks,Event_Duration_Minutes_3_Weeks,Event_Duration_Minutes_5_Weeks,Device_Type,Product_Running_Time,Completion_Rate_2_Weeks,Completion_Rate_5_Weeks,Genre,Subscription_Type,Membership_Duration,Average_Listening_Speed,Number_of_Audiobooks_Completed,Number_of_Audiobooks_Completed_Buckets,Number_of_Audiobooks_Purchased,Number_of_Audiobooks_Purchased_Buckets,Preferred_Listening_Time,Listening_Context,Listening_Device_Preference,Language_Preference,Accessibility_Features_Use,Download_vs_Streaming,Time_Spent_Browsing,Time_Spent_Browsing_Buckets,Genre_Exploration,Product_Name,Publisher_Name,Product_Narrator,Repeat_Listening,Ratings_Given,Reviews_Written,Recommendations_Followed,Social_Sharing
10,30,Male,31 - 35 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,90,5,Morning,2.0,10.0,12.0,Audible for Android,365,1.0,3.0,Parenting & Relationships,Per-book,19,1x,26,11- 30 Books,36,31 - 60 Books,Night,Commuting,Smartphone,Spanish,True,Streaming,72,61 - 100 Minutes,2,The Power of Your Subconscious Mind,"Big Happy Family, LLC",Jason McCoy,False,3,False,True,False
11,35,Male,25 - 30 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,15,1,Morning,0.0,2.0,3.0,Audible for Android,1498,0.0,0.0,Mysteries & Thrillers,Monthly,8,1.5x,96,61 - 100 Books,3,Less than 10,Morning,Commuting,Tablet,English,False,Download,106,More than 100 Minutes,3,The Krishna Key (Unabridged),Audible Studios,Nikesh Patel,False,3,True,False,True
12,37,Male,25 - 30 years,Hyderabad,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,15,9,Afternoon_Early_Evening,3.0,3.0,6.0,Audible for iPhone (1000),1688,0.0,0.0,Literature & Fiction,Monthly,12,2x,61,61 - 100 Books,34,31 - 60 Books,Evening,Exercising,Smartphone,German,False,Download,19,11- 30 Minutes,5,Battle for Bittora (Unabridged),Audible Studios,Meetu Chilana,True,1,False,False,True
13,39,Male,18 - 24 years,Hyderabad,Both,No Tablet,Personal/Hired/Shared 4 Wheeler,90,9,Late_Night_Early_Morning,38.0,8.0,46.0,Audible for Android,147,26.0,31.0,Literature & Fiction,Yearly,58,2x,0,Less than 10,82,61 - 100 Books,Evening,Relaxing,PC,Spanish,True,Streaming,19,11- 30 Minutes,7,Brain Droppings,"HighBridge, a division of Recorded Books",George Carlin,True,4,False,True,True
14,49,Female,25 - 30 years,Chennai,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,90,3,Morning,8.0,8.0,16.0,Audible for Android,466,2.0,3.0,Literature & Fiction,Per-book,57,1x,96,61 - 100 Books,9,Less than 10,Morning,Exercising,Smartphone,English,True,Streaming,13,11- 30 Minutes,3,It Happens for a Reason (Unabridged),Audible Studios,Meetu Chilana,False,5,False,False,False
15,51,Male,25 - 30 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,38,13,Late_Evening_Night,1.0,1.0,1.0,Audible for Android,1229,0.0,0.0,Literature & Fiction,Monthly,4,2x,29,11- 30 Books,96,61 - 100 Books,Night,Relaxing,Smart Speaker,English,False,Streaming,78,61 - 100 Minutes,3,Crime and Punishment (Unabridged),"Blackstone Audio, Inc.",Anthony Heald,True,4,True,False,False
16,54,Male,18 - 24 years,Hyderabad,Both,IOS Tablet,Personal/Hired/Shared 4 Wheeler,90,9,Morning,19.0,3.0,22.0,Audible for iPhone (1000),160,12.0,14.000000000000002,Religion & Spirituality,Monthly,7,1.5x,48,31 - 60 Books,94,61 - 100 Books,Night,Commuting,Smartphone,English,False,Download,82,61 - 100 Minutes,6,The Monk Who Sold His Ferrari,"Sharma Leadership International, Inc.",Robin Sharma,False,2,True,False,True
17,56,Male,18 - 24 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,38,5,Late_Night_Early_Morning,13.0,1.0,14.0,Audible for Android,144,9.0,10.0,Religion & Spirituality,Per-book,41,1.25x,81,61 - 100 Books,84,61 - 100 Books,Morning,Relaxing,PC,French,False,Download,44,31 - 60 Minutes,7,The Guiding Light. A Selection of Quotations from My Favourite Books (Unabridged),Audible Studios,Sam Dastor,True,4,False,False,False
18,57,Male,31 - 35 years,Hyderabad,Android,Both,Personal/Hired/Shared 4 Wheeler,38,13,Morning,1.0,8.0,9.0,Audible for Android,160,1.0,6.0,Parenting & Relationships,Monthly,19,1x,47,31 - 60 Books,27,11- 30 Books,Afternoon,Working,Tablet,Spanish,False,Download,61,61 - 100 Minutes,2,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time (Unabridged),"Blackstone Audio, Inc.",Brian Tracy,True,3,True,False,False
19,62,Female,25 - 30 years,Delhi,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,90,3,Afternoon_Early_Evening,1.0,1.0,2.0,Audible for iPhone (1000),565,0.0,0.0,Literature & Fiction,Per-book,4,1x,84,61 - 100 Books,52,31 - 60 Books,Evening,Exercising,Smart Speaker,Spanish,False,Download,104,More than 100 Minutes,6,Play with Me (Unabridged),Audible Studios,Jennifer Mack,False,2,True,True,False
20,66,Male,18 - 24 years,Hyderabad,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,38,3,Afternoon_Early_Evening,15.0,15.0,31.0,Audible for iPhone (1000),1078,1.0,3.0,Education & Teaching,Monthly,22,2x,95,61 - 100 Books,40,31 - 60 Books,Night,Working,Tablet,English,True,Streaming,109,More than 100 Minutes,2,Six Days of War: June 1967 and the Making of the Modern Middle East (Unabridged),"Blackstone Audio, Inc.",Robert Whitfield,False,2,True,True,True
21,68,Male,25 - 30 years,Bangalore,Android,IOS Tablet,Personal/Hired/Shared 4 Wheeler,90,5,Late_Evening_Night,24.0,0.0,25.0,Audible for Android,1387,2.0,2.0,Business & Money,Per-book,44,1.75x,87,61 - 100 Books,67,61 - 100 Books,Night,Relaxing,PC,English,True,Streaming,57,31 - 60 Minutes,6,48 Laws of Power (Unabridged),"HighBridge, a Division of Recorded Books",Richard Poe,True,3,True,True,True
22,69,Male,31 - 35 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,38,9,Late_Night_Early_Morning,2.0,2.0,3.0,Audible for Android,197,1.0,2.0,Parenting & Relationships,Per-book,46,1x,14,11- 30 Books,66,61 - 100 Books,Afternoon,Commuting,Tablet,French,False,Download,69,61 - 100 Minutes,3,"You Can Read Anyone: Never Be Fooled, Lied to, or Taken Advantage of Again (Unabridged)","Gildan Media, LLC",David J. Lieberman,True,4,False,False,False
23,70,Male,18 - 24 years,Chennai,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,90,3,Late_Evening_Night,14.0,14.0,28.0,Audible for Android,160,9.0,18.0,Religion & Spirituality,Monthly,42,1.25x,92,61 - 100 Books,9,Less than 10,Afternoon,Working,PC,German,True,Download,2,Less than 10 Minutes,9,The Monk Who Sold His Ferrari,"Sharma Leadership International, Inc.",Robin Sharma,True,1,True,False,False
24,76,Male,31 - 35 years,Bangalore,Android,IOS Tablet,Public Transport,38,3,Late_Evening_Night,2.0,2.0,5.0,Audible for Android,292,1.0,2.0,Literature & Fiction,Monthly,25,1.25x,86,61 - 100 Books,55,31 - 60 Books,Morning,Working,Smart Speaker,German,False,Download,92,61 - 100 Minutes,3,The Great Gatsby (Unabridged),Audible Studios,Jake Gyllenhaal,True,3,False,False,False
25,78,Male,25 - 30 years,Chennai,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,38,3,Afternoon_Early_Evening,7.0,7.0,13.0,Audible for Android,1498,0.0,1.0,Mysteries & Thrillers,Monthly,45,2x,24,11- 30 Books,39,31 - 60 Books,Night,Relaxing,Smartphone,French,False,Streaming,99,61 - 100 Minutes,8,The Krishna Key (Unabridged),Audible Studios,Nikesh Patel,False,4,True,True,False
26,79,Male,25 - 30 years,Chennai,Android,Android Tablet,Personal/Hired/Shared 4 Wheeler,38,3,Afternoon_Early_Evening,1.0,1.0,2.0,Audible for Android,192,1.0,1.0,Parenting & Relationships,Yearly,27,1.75x,6,Less than 10,30,11- 30 Books,Night,Exercising,Smartphone,German,True,Streaming,6,Less than 10 Minutes,4,How to Make People Like You in 90 Seconds or Less (Unabridged),"Listen & Live Audio, Inc.",Nicholas Boothman,False,5,True,True,False
27,86,Female,18 - 24 years,Hyderabad,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,90,9,Afternoon_Early_Evening,7.0,7.0,13.0,Audible for iPhone (1000),160,4.0,8.0,Religion & Spirituality,Per-book,41,1.5x,25,11- 30 Books,40,31 - 60 Books,Night,Relaxing,Smartphone,Other,True,Download,81,61 - 100 Minutes,5,The Monk Who Sold His Ferrari,"Sharma Leadership International, Inc.",Robin Sharma,False,5,True,True,False
28,89,Male,25 - 30 years,Chennai,IOS,No Tablet,Personal/Hired/Shared 2 Wheeler,38,1,Morning,0.0,2.0,2.0,Audible for iPhone (1000),231,0.0,1.0,Parenting & Relationships,Per-book,40,1.25x,73,61 - 100 Books,76,61 - 100 Books,Afternoon,Commuting,PC,German,False,Download,108,More than 100 Minutes,6,The Practicing Mind: Developing Focus and Discipline in Your Life (Unabridged),Mountain Sage Publishing,Thomas M. Sterner,True,1,False,False,True
29,90,Male,18 - 24 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,135,3,Morning,1.0,1.0,1.0,Audible for Android,160,1.0,1.0,Religion & Spirituality,Monthly,16,2x,67,61 - 100 Books,95,61 - 100 Books,Morning,Exercising,Smart Speaker,Spanish,True,Download,90,61 - 100 Minutes,4,The Monk Who Sold His Ferrari,"Sharma Leadership International, Inc.",Robin Sharma,True,4,True,False,False
30,92,Male,25 - 30 years,Hyderabad,IOS,No Tablet,Personal/Hired/Shared 2 Wheeler,38,9,Afternoon_Early_Evening,2.0,2.0,4.0,Audible for iPhone (1000),849,0.0,0.0,Biographies & Memoirs,Per-book,28,1.5x,20,11- 30 Books,16,11- 30 Books,Morning,Relaxing,PC,Spanish,True,Download,95,61 - 100 Minutes,7,Breakfast at Sally's: One Homeless Man's Inspirational Journey (Unabridged),Audible Studios,Dick Hill,True,2,False,False,False
31,100,Male,25 - 30 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,135,3,Morning,17.0,10.0,26.0,Audible for Android,1482,1.0,2.0,Biographies & Memoirs,Per-book,32,1x,49,31 - 60 Books,67,61 - 100 Books,Morning,Exercising,Smart Speaker,Spanish,False,Streaming,52,31 - 60 Minutes,9,Stay Hungry Stay Foolish (Unabridged),Audible Studios,Shaheen Khan,True,3,False,True,True
32,101,Male,41 - 45 years,Bangalore,Android,IOS Tablet,Personal/Hired/Shared 4 Wheeler,90,9,Late_Evening_Night,2.0,2.0,3.0,Audible for Android,160,1.0,2.0,Parenting & Relationships,Per-book,58,1.75x,4,Less than 10,4,Less than 10,Morning,Commuting,Smartphone,English,True,Download,74,61 - 100 Minutes,8,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time (Unabridged),"Blackstone Audio, Inc.",Brian Tracy,True,3,True,False,True
33,102,Male,25 - 30 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,38,5,Late_Night_Early_Morning,11.0,11.0,22.0,Audible for Android,2069,1.0,1.0,Biographies & Memoirs,Per-book,43,1.75x,97,61 - 100 Books,66,61 - 100 Books,Morning,Commuting,PC,French,True,Download,35,31 - 60 Minutes,6,Kissinger: A Biography (Unabridged),"Blackstone Audio, Inc.",Malcolm Hillgartner,True,3,False,True,False
34,107,Male,31 - 35 years,Bangalore,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,38,9,Afternoon_Early_Evening,1.0,1.0,1.0,Audible for iPhone (1000),691,0.0,0.0,Biographies & Memoirs,Monthly,2,1.5x,84,61 - 100 Books,37,31 - 60 Books,Evening,Relaxing,PC,French,True,Download,119,More than 100 Minutes,9,"Surely You're Joking, Mr. Feynman! (Unabridged)","Blackstone Audio, Inc.",Raymond Todd,False,2,False,False,False
35,109,Male,25 - 30 years,Bangalore,Android,No Tablet,walk,38,3,Afternoon_Early_Evening,1.0,1.0,2.0,Audible for Android,123,1.0,2.0,Literature & Fiction,Monthly,43,2x,74,61 - 100 Books,38,31 - 60 Books,Morning,Commuting,PC,French,False,Download,51,31 - 60 Minutes,5,"Addicted: A Club Destiny Novella, Book 2.5 (Unabridged)","Blackstone Audio, Inc.","Sabrina Brooks, Jay Crow",False,1,False,False,True
36,117,Male,25 - 30 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,38,3,Afternoon_Early_Evening,0.0,0.0,1.0,Audible for Android,405,0.0,0.0,Mysteries & Thrillers,Yearly,58,1.75x,29,11- 30 Books,5,Less than 10,Afternoon,Relaxing,Smartphone,French,True,Download,108,More than 100 Minutes,6,The Hound of the Baskervilles: A Sherlock Holmes Novel (Unabridged),Tantor Audio,Simon Prebble,False,2,True,False,True
37,120,Female,18 - 24 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,90,5,Afternoon_Early_Evening,2.0,2.0,4.0,Audible for Android,445,0.0,1.0,Children's Audiobooks,Per-book,3,1.5x,47,31 - 60 Books,48,31 - 60 Books,Evening,Exercising,Smartphone,French,False,Download,103,More than 100 Minutes,2,Heidi (Unabridged),"Blackstone Audio, Inc.",Johanna Ward,True,3,False,False,True
38,121,Male,25 - 30 years,Hyderabad,Other,Android Tablet,Personal/Hired/Shared 4 Wheeler,38,13,Afternoon_Early_Evening,1.0,1.0,2.0,Audible for Android,860,0.0,0.0,Social Sciences,Monthly,38,2x,30,11- 30 Books,52,31 - 60 Books,Morning,Commuting,Tablet,French,True,Streaming,23,11- 30 Minutes,8,The Black Swan: The Impact of the Highly Improbable (Unabridged),Recorded Books,David Chandler,True,2,True,False,True
39,126,Male,25 - 30 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,38,3,Late_Night_Early_Morning,0.0,0.0,0.0,Audible for Android,365,0.0,0.0,Parenting & Relationships,Per-book,41,1.25x,58,31 - 60 Books,68,61 - 100 Books,Morning,Relaxing,Smartphone,Spanish,False,Download,110,More than 100 Minutes,8,The Power of Your Subconscious Mind,"Big Happy Family, LLC",Jason McCoy,True,4,False,True,False
40,128,Male,25 - 30 years,Hyderabad,Both,No Tablet,Personal/Hired/Shared 4 Wheeler,90,13,Late_Evening_Night,1.0,1.0,1.0,Audible for Android,244,0.0,0.0,Religion & Spirituality,Per-book,29,1.25x,73,61 - 100 Books,95,61 - 100 Books,Morning,Relaxing,Tablet,Other,True,Streaming,17,11- 30 Minutes,3,7 Secrets of Shiva. The Hindu Trinity Series (Unabridged),Audible Studios,Sagar Arya,False,1,True,True,True
41,135,Male,25 - 30 years,Chennai,Both,IOS Tablet,walk,15,3,Afternoon_Early_Evening,0.0,0.0,1.0,Audible for iPhone (1000),58,0.0,2.0,Education & Teaching,Yearly,50,1.25x,18,11- 30 Books,72,61 - 100 Books,Afternoon,Relaxing,Smartphone,English,True,Streaming,55,31 - 60 Minutes,2,Learn Spanish - Word Power 101: Absolute Beginner Spanish #6 (Unabridged),"Innovative Language Learning, LLC",SpanishPod101.com,False,2,False,False,True
42,137,Male,18 - 24 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,90,13,Morning,1.0,1.0,3.0,Audible for Android,348,0.0,1.0,Literature & Fiction,Monthly,28,1.75x,51,31 - 60 Books,4,Less than 10,Morning,Working,Smart Speaker,German,False,Streaming,15,11- 30 Minutes,5,"Life Is What You Make It. A story of love, hope and how determination can overcome even destiny (Unabridged)",Audible Studios,Smita Singh,False,1,True,True,False
43,139,Male,25 - 30 years,Hyderabad,Both,No Tablet,Personal/Hired/Shared 4 Wheeler,38,9,Afternoon_Early_Evening,2.0,3.0,4.0,Audible for Android,109,2.0,4.0,Parenting & Relationships,Yearly,19,1x,32,31 - 60 Books,55,31 - 60 Books,Evening,Relaxing,PC,French,True,Download,95,61 - 100 Minutes,3,Vipassana Dhyan (Hindi),Osho International,OSHO,False,1,True,False,False
44,143,Male,31 - 35 years,Chennai,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,90,3,Late_Evening_Night,0.0,0.0,1.0,Audible for Android,322,0.0,0.0,Parenting & Relationships,Per-book,41,1.25x,98,61 - 100 Books,22,11- 30 Books,Evening,Commuting,Smartphone,Spanish,True,Download,116,More than 100 Minutes,5,Leadership & Self-Deception: Getting Out of the Box (Unabridged),"Blackstone Audio, Inc.",Peter Berkrot,True,1,True,True,True
45,145,Male,18 - 24 years,Bangalore,Android,No Tablet,walk,15,5,Afternoon_Early_Evening,6.0,6.0,13.0,Audible for Android,1505,0.0,1.0,Mysteries & Thrillers,Per-book,52,2x,19,11- 30 Books,73,61 - 100 Books,Evening,Exercising,Smart Speaker,Other,True,Download,107,More than 100 Minutes,3,The Woman in White (Unabridged),Tantor Audio,"Josephine Bailey, Simon Prebble",True,1,True,False,True
46,147,Male,31 - 35 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,38,13,Morning,9.0,1.0,10.0,Audible for Android,399,2.0,3.0,Literature & Fiction,Per-book,36,1x,87,61 - 100 Books,46,31 - 60 Books,Morning,Working,PC,French,False,Download,114,More than 100 Minutes,6,The Road (Unabridged),Recorded Books,Tom Stechschulte,False,4,True,True,True
47,148,Male,31 - 35 years,Chennai,Android,No Tablet,walk,15,13,Afternoon_Early_Evening,1.0,1.0,2.0,Audible for Android,734,0.0,0.0,Literature & Fiction,Yearly,23,2x,11,11- 30 Books,92,61 - 100 Books,Morning,Relaxing,Tablet,German,True,Download,59,31 - 60 Minutes,6,The Idiot,Mission Audio,Simon Vance,False,1,False,True,False
48,152,Male,25 - 30 years,Mumbai,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,38,5,Late_Night_Early_Morning,1.0,8.0,10.0,Audible for iPhone (1000),644,0.0,2.0,Literature & Fiction,Per-book,2,1x,48,31 - 60 Books,46,31 - 60 Books,Evening,Exercising,PC,Spanish,False,Streaming,106,More than 100 Minutes,2,Q & A (filmed as Slumdog Millionaire) (Unabridged),Audible Studios,Christopher Simpson,True,5,False,True,True
49,154,Male,18 - 24 years,Hyderabad,IOS,No Tablet,Personal/Hired/Shared 2 Wheeler,15,5,Morning,18.0,18.0,36.0,Audible for iPhone (1000),36,50.0,100.0,Parenting & Relationships,Yearly,8,2x,43,31 - 60 Books,59,31 - 60 Books,Evening,Relaxing,PC,German,False,Download,59,31 - 60 Minutes,5,How Much Land Does a Man Need? (Unabridged),Jimcin Recordings,Walter Zimmerman,False,4,False,False,True
50,157,Male,25 - 30 years,Chennai,IOS,Android Tablet,Personal/Hired/Shared 4 Wheeler,38,3,Late_Evening_Night,1.0,17.0,18.0,Audible for iPhone (1000),14,7.000000000000001,100.0,Children's Audiobooks,Per-book,56,1.5x,24,11- 30 Books,2,Less than 10,Morning,Commuting,PC,Spanish,False,Download,104,More than 100 Minutes,9,Rapunzel (Unabridged),"PC Treasures, Inc.",Nigel Lambert,True,5,False,True,True
51,164,Male,25 - 30 years,Hyderabad,Android,Android Tablet,Personal/Hired/Shared 4 Wheeler,38,3,Late_Evening_Night,1.0,1.0,3.0,Audible for Android,160,1.0,2.0,Parenting & Relationships,Yearly,52,1.5x,42,31 - 60 Books,75,61 - 100 Books,Night,Commuting,Smartphone,German,True,Streaming,76,61 - 100 Minutes,7,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time (Unabridged),"Blackstone Audio, Inc.",Brian Tracy,True,4,False,True,False
52,165,Male,36 - 40 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,90,13,Afternoon_Early_Evening,2.0,5.0,7.0,Audible for Android,1015,0.0,1.0,Literature & Fiction,Yearly,56,1x,60,31 - 60 Books,53,31 - 60 Books,Afternoon,Exercising,Tablet,English,False,Streaming,59,31 - 60 Minutes,4,Age of Myth: Book One of The Legends of the First Empire (Unabridged),Recorded Books,Tim Gerard Reynolds,True,2,False,True,False
53,168,Male,31 - 35 years,Hyderabad,Android,Android Tablet,Personal/Hired/Shared 4 Wheeler,38,3,Late_Evening_Night,4.0,2.0,6.0,Audible for Android,521,1.0,1.0,Literature & Fiction,Monthly,11,2x,72,61 - 100 Books,95,61 - 100 Books,Afternoon,Commuting,Smartphone,English,False,Streaming,7,Less than 10 Minutes,9,"Twin Dragons: The Dragon Lords of Valdier, Book 7 (Unabridged)",S.E. Smith,David Brenin,False,3,True,True,True
54,169,Male,18 - 24 years,Bangalore,Android,Android Tablet,Public Transport,38,3,Morning,6.0,0.0,6.0,Audible for Android,356,2.0,2.0,Literature & Fiction,Yearly,49,1.5x,60,31 - 60 Books,43,31 - 60 Books,Night,Exercising,PC,French,False,Streaming,97,61 - 100 Minutes,9,Star Wars (Dramatized),"HighBridge, a division of Recorded Books","Mark Hamill, Anthony Daniels",True,3,False,False,True
55,173,Male,25 - 30 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,38,5,Late_Night_Early_Morning,1.0,1.0,1.0,Audible for Android,219,0.0,0.0,Business & Money,Per-book,20,2x,57,31 - 60 Books,2,Less than 10,Morning,Exercising,Smartphone,French,False,Streaming,29,11- 30 Minutes,3,Financial Statements: A Step-by-Step Guide to Understanding and Creating Financial Reports,"Listen & Live Audio, Inc.",Chris Ensweiler,True,1,False,True,False
56,179,Male,31 - 35 years,Delhi,Android,No Tablet,Public Transport,90,5,Morning,1.0,1.0,2.0,Audible for Android,435,0.0,0.0,Literature & Fiction,Monthly,41,1.75x,99,61 - 100 Books,17,11- 30 Books,Night,Exercising,Smart Speaker,Other,False,Download,111,More than 100 Minutes,1,Something Fresh (Unabridged),"Blackstone Audio, Inc.",Frederick Davidson,False,2,True,True,False
57,181,Male,25 - 30 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,38,9,Morning,1.0,1.0,2.0,Audible for Android,570,0.0,0.0,Literature & Fiction,Monthly,57,2x,76,61 - 100 Books,65,61 - 100 Books,Afternoon,Relaxing,PC,French,False,Download,108,More than 100 Minutes,5,An Uncommon Bond (Unabridged),"Blackstone Audio, Inc.",Ray Chase,False,2,False,True,True
